2025-03-15 21:53:00 | INFO     | src.core.config:initialize_app:180 - アプリケーションを初期化しました: 内部監査サンプルデータ自動テストAIエージェントシステム v0.1.0
2025-03-15 21:53:00 | INFO     | src.core.config:initialize_app:181 - データベース接続: sqlite:///C:\Users\nyham\work\sampletest\data\db\audit_agent_new.db
2025-03-15 21:53:00 | INFO     | __main__:<module>:31 - 内部監査サンプルデータ自動テストAIエージェントシステム v0.1.0 を起動しています
2025-03-15 21:53:00 | INFO     | __main__:start_server:21 - サーバーを起動しています: 0.0.0.0:8001
2025-03-15 21:53:04 | INFO     | src.core.config:setup_logging:173 - ログレベル INFO でロギングを初期化しました
2025-03-15 21:53:04 | INFO     | src.core.config:initialize_app:180 - アプリケーションを初期化しました: 内部監査サンプルデータ自動テストAIエージェントシステム v0.1.0
2025-03-15 21:53:04 | INFO     | src.core.config:initialize_app:181 - データベース接続: sqlite:///C:\Users\nyham\work\sampletest\data\db\audit_agent_new.db
2025-03-15 21:53:04 | INFO     | src.migrations.manager:run_migrations:84 - データベースマイグレーションを開始します...
2025-03-15 21:53:04 | INFO     | src.migrations.manager:run_migrations:132 - すべてのマイグレーションが完了しました
2025-03-15 21:53:04 | INFO     | src.utils.db_manager:init_db:72 - データベーススキーマが初期化されました
2025-03-15 21:53:04 | INFO     | src.api.main:<module>:84 - 静的ファイルディレクトリをマウントしました: C:\Users\nyham\work\sampletest\static, C:\Users\nyham\work\sampletest\data\reports
2025-03-15 21:53:04 | INFO     | src.core.config:setup_directories:145 - アプリケーションディレクトリを作成しました
2025-03-15 21:53:04 | INFO     | src.core.config:setup_logging:173 - ログレベル INFO でロギングを初期化しました
2025-03-15 21:53:04 | INFO     | src.core.config:initialize_app:180 - アプリケーションを初期化しました: 内部監査サンプルデータ自動テストAIエージェントシステム v0.1.0
2025-03-15 21:53:04 | INFO     | src.core.config:initialize_app:181 - データベース接続: sqlite:///C:\Users\nyham\work\sampletest\data\db\audit_agent_new.db
2025-03-15 21:53:15 | INFO     | src.core.config:setup_logging:173 - ログレベル INFO でロギングを初期化しました
2025-03-15 21:53:15 | INFO     | src.core.config:initialize_app:180 - アプリケーションを初期化しました: 内部監査サンプルデータ自動テストAIエージェントシステム v0.1.0
2025-03-15 21:53:15 | INFO     | src.core.config:initialize_app:181 - データベース接続: sqlite:///C:\Users\nyham\work\sampletest\data\db\audit_agent_new.db
2025-03-15 21:53:15 | INFO     | src.migrations.manager:run_migrations:84 - データベースマイグレーションを開始します...
2025-03-15 21:53:15 | INFO     | src.migrations.manager:run_migrations:132 - すべてのマイグレーションが完了しました
